time,lane_id,density,entering_rate,exit_rate,vehicle_count,congested
88.0,-79_0,0.0616750955963981,1,0,1,1
89.0,-79_0,0.0616750955963981,1,0,1,1
90.0,-79_0,0.0616750955963981,1,0,1,1
91.0,-79_0,0.0616750955963981,1,0,1,1
92.0,-79_0,0.1233501911927963,2,0,2,1
113.0,60_0,0.0616750955963981,3,2,1,1
114.0,60_0,0.0616750955963981,3,2,1,1
115.0,60_0,0.0616750955963981,3,2,1,1
116.0,60_0,0.0495940503814485,3,3,0,1
117.0,-60_0,0.1233501911927963,5,3,2,1
117.0,60_0,0.0111470338634519,3,3,0,1
118.0,-60_0,0.1233501911927963,5,3,2,1
118.0,60_0,0.0,3,3,0,1
119.0,-60_0,0.096927798224557,5,4,1,1
119.0,60_0,0.0,3,3,0,1
120.0,-60_0,0.0616750955963981,5,4,1,1
120.0,60_0,0.0,3,3,0,1
121.0,-60_0,0.121925606250787,6,4,2,1
121.0,60_0,0.055502637143255,4,3,1,1
122.0,-60_0,0.1233501911927963,6,4,2,1
122.0,60_0,0.0616750955963981,4,3,1,1
123.0,-60_0,0.1088758966111701,7,5,2,1
123.0,60_0,0.1233501911927963,5,3,2,1
124.0,-60_0,0.1233501911927963,7,5,2,1
124.0,60_0,0.1233501911927963,5,3,2,1
125.0,-60_0,0.1233501911927963,7,5,2,1
125.0,60_0,0.1233501911927963,5,3,2,1
126.0,-60_0,0.1659028254916616,8,5,3,1
126.0,60_0,0.1233501911927963,5,3,2,1
127.0,-60_0,0.1850252867891945,8,5,3,1
127.0,60_0,0.1233501911927963,5,3,2,1
128.0,-60_0,0.1233501911927963,8,6,2,1
128.0,60_0,0.1233501911927963,5,3,2,1
129.0,-60_0,0.1143698583920644,8,7,1,1
129.0,60_0,0.1233501911927963,5,3,2,1
130.0,-60_0,0.0616750955963981,8,7,1,1
130.0,60_0,0.1233501911927963,5,3,2,1
131.0,-60_0,0.1233501911927963,9,7,2,1
131.0,60_0,0.1233501911927963,5,3,2,1
132.0,-60_0,0.1096313261312581,9,8,1,1
132.0,60_0,0.1233501911927963,5,3,2,1
133.0,-60_0,0.0616750955963981,9,8,1,1
133.0,60_0,0.1233501911927963,5,3,2,1
134.0,-60_0,0.0616750955963981,9,8,1,1
134.0,60_0,0.1233501911927963,5,3,2,1
135.0,-60_0,0.0616750955963981,9,8,1,1
136.0,-60_0,0.0616750955963981,9,8,1,1
137.0,-60_0,0.0616750955963981,9,8,1,1
138.0,-60_0,0.0381666670318651,10,9,1,1
139.0,-60_0,0.0616750955963981,10,9,1,1
140.0,-60_0,0.0935563220278337,11,9,2,1
141.0,-60_0,0.1233501911927963,11,9,2,1
141.0,-79_0,0.3083754779819909,8,3,5,1
142.0,-60_0,0.1233501911927963,11,9,2,1
142.0,-79_0,0.370050573578389,9,3,6,1
143.0,-60_0,0.18254162148247,12,9,3,1
143.0,-79_0,0.3812310201634973,10,3,7,1
144.0,-60_0,0.1850252867891945,12,9,3,1
144.0,-79_0,0.4317256691747873,10,3,7,1
145.0,-60_0,0.2415546911364393,13,10,3,1
145.0,-79_0,0.4317256691747873,9,3,7,1
146.0,-60_0,0.1850252867891945,12,10,3,1
